chengzhongyoushan1;城中有山;;;;;;;;;;X,,,,,
zhuluzhongyuan1;逐鹿中原;;;;;;;;;;X,,,,,
desc_zhuluzhongyuan1;我国以极大的声势参与逐鹿中原的活动，我国强大的国力在一定程度上抵消了我国侵占其他中原诸侯领土所带来的负面影响。;;;;;;;;;;X,,,,,
zhuluzhongyuan2;逐鹿中原;;;;;;;;;;X,,,,,
desc_zhuluzhongyuan2;我国以极大的声势参与逐鹿中原的活动，我国强大的国力在一定程度上抵消了我国侵占其他中原诸侯领土所带来的负面影响。;;;;;;;;;;X,,,,,
zhuluzhongyuan3;逐鹿中原;;;;;;;;;;X,,,,,
desc_zhuluzhongyuan3;我国以极大的声势参与逐鹿中原的活动，我国强大的国力在一定程度上抵消了我国侵占其他中原诸侯领土所带来的负面影响。;;;;;;;;;;X,,,,,
guanji;官妓;;;;;;;;;;X,,,,,
desc_guanji;官妓;;;;;;;;;;X,,,,,
desc_huayi;夷狄之有君,不如诸夏之亡也。;;;;;;;;;;X,,,,
zongfazhi;宗法制;;;;;;;;;;X,,,,,
desc_zongfazhi;长子继承;;;;;;;;;;X,,,,,
zunwangrangyi;尊王攘夷;;;;;;;;;;X,,,,,
desc_zunwangrangyi;尊王攘夷;;;;;;;;;;X,,,,,
yidaimingjiang;一代名将;;;;;;;;;;X,,,,,
desc_yidaimingjiang;一代名将;;;;;;;;;;X,,,,,
liangcang;封邑建设;;;;;;;;;;X,,,,,
desc_liangcang;本地的贵族积极建设封邑，当地一派欣欣向荣，无论是军事防御设施还是经济发展，都取得了显著的成效。;;;;;;;;;;X,,,,,
zengshou;农业增长;;;;;;;;;;X,,,,,
desc_zengshou;粮仓;;;;;;;;;;X,,,,,
science_improvement;学术革新;;;;;;;;;;X,,,,,
desc_science_improvement;学术革新;;;;;;;;;;X,,,,,
army_improvement;士气高昂;;;;;;;;;;X,,,,,
desc_army_improvement;士气高昂;;;;;;;;;;X,,,,,
tax_decrease;税收不足;;;;;;;;;;X,,,,,
desc_tax_decrease;税收不足;;;;;;;;;;X,,,,,
colony_decrease;移民衰退长;;;;;;;;;;X,,,,,
desc_colony_decrease;移民衰退;;;;;;;;;;X,,,,,
zhengzhiqingming;政治清明;;;;;;;;;;X,,,,,
desc_zhengzhiqingming;我国当前内政清明，官员协力;;;;;;;;;;X,,,,,
xueshufanrong;学术繁荣;;;;;;;;;;X,,,,,
desc_xueshufanrong;来自各地的学者汇聚我国，这造就了学术繁荣;;;;;;;;;;X,,,,,
junshigeming;军事革命;;;;;;;;;;X,,,,,
desc_junshigeming;随着战术理论的发展，我军正在经历一场军事变革;;;;;;;;;;X,,,,,
dangshiminjiang;当世名将;;;;;;;;;;X,,,,,
desc_dangshiminjiang;这个时代最伟大的将军正在为我国效力;;;;;;;;;;X,,,,,
wenyixinglong;文艺兴隆;;;;;;;;;;X,,,,,
desc_wenyixinglong;大批文人汇聚于宫廷，我国文艺正处于空前的繁荣中;;;;;;;;;;X,,,,,
shangyefanrong;商业繁荣;;;;;;;;;;X,,,,,
desc_shangyefanrong;广阔的市场和优秀的官员为我国的商业开拓带来了极大提升，来自五湖四海的货物正在我国的市场上被交易;;;;;;;;;;X,,,,,
difangjianshe;地方建设;;;;;;;;;;X,,,,,
desc_difangjianshe;地方官员和贵族对于城邑的建设取得了重要成效，很多城市和首都一样处于安宁繁荣的状态;;;;;;;;;;X,,,,,
zhuhouchengfu;诸侯臣服;;;;;;;;;;X,,,,,
desc_zhuhouchengfu;我国的外交影响力空前强大，各国纷纷来朝，这得益于我们优秀的使节;;;;;;;;;;X,,,,,
anjuleye;安居乐业;;;;;;;;;;X,,,,,
desc_anjuleye;官员各司其职，人民生活安定，不稳定的因素大大减少了;;;;;;;;;;X,,,,,
siweisucan_1;尸位素餐的臣属;;;;;;;;;;X,,,,,
desc_siweisucan_1;我们的臣属由于和君主的政治理念不同，选择了沉默，实际上他对国家已经没有贡献了;;;;;;;;;;X,,,,,
siweisucan_2;尸位素餐的臣属;;;;;;;;;;X,,,,,
desc_siweisucan_2;我们的臣属由于和君主的政治理念不同，选择了沉默，实际上他对国家已经没有贡献了;;;;;;;;;;X,,,,,
siweisucan_3;尸位素餐的臣属;;;;;;;;;;X,,,,,
desc_siweisucan_3;我们的臣属由于和君主的政治理念不同，选择了沉默，实际上他对国家已经没有贡献了;;;;;;;;;;X,,,,,
siweisucan_4;尸位素餐的臣属;;;;;;;;;;X,,,,,
desc_siweisucan_4;我们的臣属由于和君主的政治理念不同，选择了沉默，实际上他对国家已经没有贡献了;;;;;;;;;;X,,,,,
siweisucan_5;尸位素餐的臣属;;;;;;;;;;X,,,,,
desc_siweisucan_5;我们的臣属由于和君主的政治理念不同，选择了沉默，实际上他对国家已经没有贡献了;;;;;;;;;;X,,,,,
siweisucan_6;尸位素餐的臣属;;;;;;;;;;X,,,,,
